Premise,Hypothesis,Loss,Predicted Label,True Label
"The traditional word for the API is pharmacon from Greek : : φάρμακον, adapted from pharmacos which originally denoted a magical substance or drug.","The traditional word for the API is pharmacon or pharmakon (from Greek: φάρμακον , adapted from pharmacos) which originally denoted a magical substance or drug.",16.118095,1,1
She received basic training in music when her mother used to take her ' masterji ' for training.,She received basic training in music when her mother used to take her to a Hindustani music teacher or 'masterji' for training.,16.118095,1,1
Mon Dieu! ,This person is speaking English.,16.118095,1,0
The Chair and Ranking Member of the committee(s) of jurisdiction over the congressional program or activity.,The Chair and Ranking Member of the committee(s) of jurisdiction over the funding as well. ,16.118095,1,1
It may have been the most poorly performed martial maneuver Jon had ever seen.,"Although it was the possibly the worst martial maneuver Jon had ever witnessed, it also made him chuckle. ",16.118095,1,1
Re-Analysis of NMMAPS Morbidity Data and Further Exploration of the GAM-Time Series Issue.,The re-analysis of NMMAPS morbidity data is a topic that many researchers have tried to crack.,16.118095,1,1
"'Tis the spring entertaining season again, in which people fumble with their once or twice a year attempt at Victorian propriety.",Spring is entertainment season in New York,16.118095,1,1
The Vatican was upset when the fascist youth movement dissolved the Catholic Boy Scouts.,The Catholic Boy Scouts were a fascist organization.,16.118095,1,0
The teeming millions living in Calcutta and Mumbai have become legendary.,The millions of people living in Calcutta and Mumbai are legendary for their knife skills.,16.118095,1,1
Room 17 houses a once private collection that of Irackliot doctor Stylianes Giamalakis which came to the state in 1962.,The collection in Room 17 is quite interesting to behold.,16.118095,1,1
